ajoneuvot00692	positive,neutral	status	Tämä . BMW provosoi tarpeettomiin ohituksiin . Liikennevaloissa lähtiessäkin on usein yhden hengen kiihdytyskisat pystyssä . 	Fordin	 ratissa ei tarvitse katsella tätä , vaikka ajotyyli ja nopeus on samoja . Onko tämä sitä kateutta ?
ajoneuvot00697	positive,positive,positive,positive	auto,merkki,ääni		Zetat	 on kyllä upeita . Hyväkuntoiset on vaan aikalailla viety käsistä . Aika paljon noita myös laitellaan , mutta hyvällä maulla mielestäni ( motorsport hengessä ) . Olen ollut parin + 250hp vaparin kyydissä . Suorakutonen laulaa nätisti 8000rpm .
ajoneuvot01589	mixed,neutral,neutral	hinta,piirteet	Tässä langassa lienee paras kysyä , mitä tulisi huomioida 	E39 : n	 hankinnassa , niitähän saa jo parilla tonnilla . Ainoat kriteerit : nahkasisusta , ilmastointi , sedan .
ajoneuvot01823	positive,neutral,positive,positive	bensankulutus,kestävyys,kulutus,laatu		Saab 9000	 2 . 3literisellä pikkumoottorilla varustettu ydinpommin kestävä ruotsalainen hirvi . Bensaakin syö hyvin vähäisen määrän per 100km
ajoneuvot02354	negative,negative,negative	ikä,malli	Mihin tääkin perustuu et ikivanhat mersut on niitä ainoita oikeita ? Ei kyllä huvita W210 : n ratista hypätä minkään 	123 : n	 rattiin . Harrasteautona menisi tietty .
ajoneuvot02481	mixed,mixed,mixed	mielipide,ulkonäkö,ulkonäkö	Vaikka uudet 	skoda octavia rs : t	 ovat ihan mukavan näköisiä , on silti aika absurdia sanoa semmoisen olevan unelma - auto . Noh , kukin tavallaan .
ajoneuvot02562	negative,negative	muotoilu,ulkonäkö	Väität tosissaan tuon kuvan citikan sitten olevan hienompi ? Tuom citikan muotoilu on kuin alkuysärin honda civic / accord ja 2000 	fiat punto	 tekisivät lapsen . .
ajoneuvot05698	positive,positive,positive,positive	koko,koko,koko,laatu,vaikutelma,yleiskuva	Mazdoista puheenollen , olen monesti himoinnut 	121 : kköstä	 . Naurettavan pieni Sedan , hyväkuntoisena varmasti päräyttävä auto muutaman vuosikymmenen päästä .
ajoneuvot06339	mixed,positive,positive,positive	hinta,laatu,yleinen	Clio V6 : n itsekin ostaisin jos sellainen tulisi järkihintaan vastaan . Kun taas 	Mégane RS : ää	 en ostaisi , mutta en myöskään pistäisi pahakseni omistaa moista laitosta .
ajoneuvot06674	negative,negative,mixed,negative	laatu,status,status	Hymyilin ääneen . Jonnet ja Jonnathan kostuvat näistä . 	Twingolle	 nauravat kaikki , jotka autoista välittävät .
